focal_koala,ts,other_name,other_file_uid,other_device_uid,rssi_dbm,behaviour
Aja,2026-03-13 07:26:25+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-19,
Aja,2026-03-13 07:06:25+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-35,
Aja,2026-03-13 07:06:25+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-43,
Aja,2026-03-13 06:46:25+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-30,
Aja,2026-03-13 06:36:25+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-44,
Aja,2026-03-13 05:56:24+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-45,
Aja,2026-03-13 04:06:23+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-45,
Aja,2026-03-13 01:46:22+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-54,
Aja,2026-03-12 02:56:08+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-55,
Aja,2026-03-11 21:06:04+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-73,
Aja,2026-03-11 03:55:54+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-58,
Annie,2026-03-13 06:42:25+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-45,
Annie,2026-03-13 06:32:25+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-47,
Annie,2026-03-13 06:32:25+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-49,
Annie,2026-03-13 05:52:25+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-50,
Annie,2026-03-13 05:22:24+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-51,
Annie,2026-03-13 05:12:24+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-54,
Annie,2026-03-13 01:12:20+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-54,
Annie,2026-03-13 00:42:21+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-56,
Annie,2026-03-12 21:02:18+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-52,
Annie,2026-03-12 06:02:07+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-39,
Annie,2026-03-12 01:22:03+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-65,
Annie,2026-03-11 22:32:01+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-69,
Annie,2026-03-11 07:11:51+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-58,
Annie,2025-11-15 02:22:07+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-81,
Annie,2024-05-22 07:15:33+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-87,
Aymeric,2026-03-13 06:23:57+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-62,
Aymeric,2026-03-13 06:23:57+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-59,
Aymeric,2026-03-13 06:13:56+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-62,
Aymeric,2026-03-13 05:41:58+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-54,
Aymeric,2026-03-13 05:41:58+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-43,
Aymeric,2026-03-13 05:41:58+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-50,
Aymeric,2026-03-13 05:41:17+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-27,
Aymeric,2026-03-13 05:21:16+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-56,
Aymeric,2026-03-13 02:01:14+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-65,
Aymeric,2026-03-13 00:51:13+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-62,
Aymeric,2025-12-01 08:37:04+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-28,
Aymeric,2025-08-14 19:01:39+00:00,Henry,Q2B3mYzXBEwAPFjm,C1612010239F791D,-76,
Blaise,2026-03-13 07:11:12+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-47,
Blaise,2026-03-13 07:01:12+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-49,
Blaise,2026-03-13 06:51:12+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-41,
Blaise,2026-03-13 06:31:12+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-51,
Blaise,2026-03-13 06:21:12+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-50,
Blaise,2026-03-13 06:11:12+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-34,
Blaise,2026-03-13 05:31:11+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-56,
Blaise,2026-03-13 02:01:00+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-57,
Blaise,2026-03-12 21:20:46+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-56,
Blaise,2026-03-12 18:30:44+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-59,
Blaise,2026-03-12 10:30:39+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-57,
Blaise,2026-03-12 06:00:27+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-48,
Blaise,2026-03-12 02:20:25+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-61,
Blaise,2025-11-17 07:10:24+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-41,
Blaise,2025-11-17 07:00:24+00:00,Robbie,ZfBOHgBBRAeCnQ6f,C1612010105EB6ED,-48,
Callan,2025-05-22 17:38:19+00:00,Pippah,1612iV90WrcA3tsH,C1612010BA0537FC,-83,
Callan,2024-10-18 00:49:01+00:00,Shinny,FJsyLYZTyUxCmF5w,C1612010B5EB60B7,-72,
Callan,2024-10-18 00:49:01+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-57,
Callan,2024-07-26 14:27:06+00:00,James,JxIClO41JAk38qdm,C1612010E1A64CD4,-89,
Callan,2024-04-20 23:23:12+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E2E8D66D,-28,
Callan,2024-04-09 03:58:14+00:00,Izzy,fR_XoQxn5Vetu7Oz,C1612010DEB4D5B3,-34,
Cameron,2026-03-14 03:21:52+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-31,
Cameron,2026-03-14 03:11:52+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-44,
Cameron,2026-03-14 00:21:50+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-66,
Cameron,2026-03-13 23:41:50+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-56,
Cameron,2026-03-13 22:31:36+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-69,
Cameron,2026-03-13 22:21:36+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-68,
Cameron,2026-03-13 06:40:39+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-55,
Cameron,2026-03-13 05:50:39+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-65,
Cameron,2026-03-13 05:50:39+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-63,
Cameron,2026-03-13 05:20:38+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-30,
Cameron,2026-03-13 05:20:38+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-54,
Cameron,2026-03-12 06:20:15+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-59,
Cameron,2026-03-12 06:10:15+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-45,
Cameron,2026-03-12 05:14:31+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-56,
Craig,2026-03-14 04:04:05+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-80,
Craig,2026-03-14 03:54:05+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-31,
Craig,2026-03-14 03:44:05+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-44,
Craig,2026-03-14 00:24:03+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-62,
Craig,2026-03-13 23:44:02+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-58,
Craig,2026-03-13 23:24:02+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-64,
Craig,2026-03-13 21:04:01+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-69,
Craig,2026-03-13 06:33:41+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-59,
Craig,2026-03-13 06:13:41+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-55,
Craig,2026-03-13 05:53:40+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-58,
Craig,2026-03-13 05:13:40+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-28,
Craig,2026-03-12 23:23:36+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-56,
Craig,2026-03-12 21:33:35+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-64,
Craig,2026-03-12 18:13:33+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-68,
Craig,2025-12-20 16:32:33+00:00,Olivia,Jn9PHn4GV933Bv7x,C1612010CF772982,-88,
Emily,2026-03-13 23:19:55+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-46,
Emily,2026-03-13 23:19:55+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-37,
Emily,2026-03-13 23:09:55+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-68,
Emily,2026-03-13 22:59:55+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-70,
Emily,2026-03-13 22:59:55+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-63,
Emily,2026-03-13 22:09:54+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-69,
Emily,2026-03-13 07:19:45+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-60,
Emily,2026-03-13 06:49:45+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-61,
Emily,2026-03-13 06:39:45+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-60,
Emily,2026-03-13 06:39:45+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-55,
Emily,2026-03-13 03:09:43+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-64,
Emily,2026-03-12 23:19:40+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-63,
Emily,2026-03-12 22:09:39+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-62,
Emily,2025-04-24 07:08:23+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-87,
Emily,2025-04-15 10:38:36+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-92,
Georgia,2026-03-13 06:48:55+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-43,
Georgia,2026-03-13 06:48:55+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-21,
Georgia,2026-03-13 06:38:55+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-40,
Georgia,2026-03-13 06:38:55+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-29,
Georgia,2026-03-13 05:58:54+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-34,
Georgia,2026-03-13 05:48:54+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-47,
Georgia,2026-03-13 02:28:52+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-45,
Georgia,2026-03-13 00:18:50+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-56,
Georgia,2026-03-13 00:08:50+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-61,
Georgia,2026-03-12 22:48:49+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-48,
Georgia,2026-03-12 01:58:34+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-66,
Georgia,2026-03-11 06:08:21+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-58,
Georgia,2025-11-16 01:22:40+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-82,
Georgia,2024-11-24 23:32:12+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-57,
Hannah,2026-03-14 04:24:58+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-52,
Hannah,2026-03-14 03:51:22+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-74,
Hannah,2026-03-14 03:41:22+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-73,
Hannah,2026-03-13 23:31:24+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-88,
Hannah,2026-03-13 18:41:23+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-83,
Hannah,2026-03-13 16:01:21+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-93,
Hannah,2024-11-24 23:23:34+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-61,
Hannah,2024-10-25 13:18:39+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-91,
Hannah,2024-06-06 05:50:13+00:00,Annie,4yQn56IiUYYus6SW,C1612010E2E5C38B,-87,
Henry,2025-08-14 18:58:42+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-82,
Immy,2025-02-04 22:14:01+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-62,
Immy,2025-01-27 12:55:46+00:00,Emily,bxLRr2bF1yroL9q_,C1612010CB3C458A,-71,
Immy,2025-01-24 10:13:18+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-82,
Immy,2024-12-12 00:28:58+00:00,Olivia,Jn9PHn4GV933Bv7x,C1612010CF772982,-93,
Izzy,2026-03-14 00:18:38+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-64,
Izzy,2026-03-14 00:18:38+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-61,
